2017-03-31 19:07:26,288 | WARN  | Transport Connection to: tcp://127.0.0.1:50988 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50988@61616
2017-03-31 19:07:26,288 | WARN  | Transport Connection to: tcp://127.0.0.1:50987 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50987@61616
2017-03-31 19:07:26,287 | WARN  | Transport Connection to: tcp://127.0.0.1:50979 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50979@61616
2017-03-31 19:07:26,287 | WARN  | Transport Connection to: tcp://127.0.0.1:50967 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50967@61616
2017-03-31 19:07:26,287 | WARN  | Transport Connection to: tcp://127.0.0.1:50964 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50964@61616
2017-03-31 19:07:26,287 | WARN  | Transport Connection to: tcp://127.0.0.1:50955 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50955@61616
2017-03-31 19:07:26,287 | WARN  | Transport Connection to: tcp://127.0.0.1:50956 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50956@61616
2017-03-31 19:07:26,287 | WARN  | Transport Connection to: tcp://127.0.0.1:51005 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51005@61616
2017-03-31 19:07:26,286 | WARN  | Transport Connection to: tcp://127.0.0.1:50953 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50953@61616
2017-03-31 19:07:26,286 | WARN  | Transport Connection to: tcp://127.0.0.1:50952 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50952@61616
2017-03-31 19:07:26,286 | WARN  | Transport Connection to: tcp://127.0.0.1:51060 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51060@61616
2017-03-31 19:07:26,286 | WARN  | Transport Connection to: tcp://127.0.0.1:51009 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51009@61616
2017-03-31 19:07:26,286 | WARN  | Transport Connection to: tcp://127.0.0.1:51003 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51003@61616
2017-03-31 19:07:26,286 | WARN  | Transport Connection to: tcp://127.0.0.1:50950 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50950@61616
2017-03-31 19:07:26,286 | WARN  | Transport Connection to: tcp://127.0.0.1:51058 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51058@61616
2017-03-31 19:07:26,286 | WARN  | Transport Connection to: tcp://127.0.0.1:50948 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50948@61616
2017-03-31 19:07:26,286 | WARN  | Transport Connection to: tcp://127.0.0.1:51055 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51055@61616
2017-03-31 19:07:26,285 | WARN  | Transport Connection to: tcp://127.0.0.1:51001 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51001@61616
2017-03-31 19:07:26,285 | WARN  | Transport Connection to: tcp://127.0.0.1:50947 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50947@61616
2017-03-31 19:07:26,285 | WARN  | Transport Connection to: tcp://127.0.0.1:51054 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51054@61616
2017-03-31 19:07:26,285 | WARN  | Transport Connection to: tcp://127.0.0.1:50997 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50997@61616
2017-03-31 19:07:26,285 | WARN  | Transport Connection to: tcp://127.0.0.1:50943 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50943@61616
2017-03-31 19:07:26,284 | WARN  | Transport Connection to: tcp://127.0.0.1:50941 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50941@61616
2017-03-31 19:07:26,284 | WARN  | Transport Connection to: tcp://127.0.0.1:50994 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50994@61616
2017-03-31 19:07:26,284 | WARN  | Transport Connection to: tcp://127.0.0.1:50993 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50993@61616
2017-03-31 19:07:26,283 | WARN  | Transport Connection to: tcp://127.0.0.1:50939 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50939@61616
2017-03-31 19:07:26,283 | WARN  | Transport Connection to: tcp://127.0.0.1:51052 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51052@61616
2017-03-31 19:07:26,283 | WARN  | Transport Connection to: tcp://127.0.0.1:50938 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50938@61616
2017-03-31 19:07:26,283 | WARN  | Transport Connection to: tcp://127.0.0.1:50937 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50937@61616
2017-03-31 19:07:26,283 | WARN  | Transport Connection to: tcp://127.0.0.1:50934 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50934@61616
2017-03-31 19:07:26,283 | WARN  | Transport Connection to: tcp://127.0.0.1:51047 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51047@61616
2017-03-31 19:07:26,282 | WARN  | Transport Connection to: tcp://127.0.0.1:50933 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50933@61616
2017-03-31 19:07:26,282 | WARN  | Transport Connection to: tcp://127.0.0.1:51044 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51044@61616
2017-03-31 19:07:26,282 | WARN  | Transport Connection to: tcp://127.0.0.1:50931 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50931@61616
2017-03-31 19:07:26,282 | WARN  | Transport Connection to: tcp://127.0.0.1:51043 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51043@61616
2017-03-31 19:07:26,282 | WARN  | Transport Connection to: tcp://127.0.0.1:50985 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50985@61616
2017-03-31 19:07:26,282 | WARN  | Transport Connection to: tcp://127.0.0.1:50930 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50930@61616
2017-03-31 19:07:26,281 | WARN  | Transport Connection to: tcp://127.0.0.1:50982 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50982@61616
2017-03-31 19:07:26,281 | WARN  | Transport Connection to: tcp://127.0.0.1:50928 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50928@61616
2017-03-31 19:07:26,281 | WARN  | Transport Connection to: tcp://127.0.0.1:51039 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51039@61616
